total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,workload,policy_name
1954,1954,1948,0,6,0.0,19.48,0.6402251791197543,0.6402251791197543,0.9969293756397134,15.584000000000001,0.8,0.0,254.8301638418052,755.6876455393615,1007.3460822945129,"{0: 0.6810526315789474, 1: 0.601593625498008}",0.9878794184819555,0.6810526315789474,0.601593625498008,20,42,Poisson | EDF + Fixed,burstiness,Poisson,EDF + Fixed
2084,2084,2072,0,12,0.0,20.72,0.9241842610364683,0.9241842610364683,0.9942418426103646,16.576,0.8,0.0,1149.8634749587472,1889.5039697103036,2111.191320680791,"{0: 0.9323915237134208, 1: 0.9167429094236048}",0.9893555334516126,0.9323915237134208,0.9167429094236048,20,43,Poisson | EDF + Fixed,burstiness,Poisson,EDF + Fixed
2075,2075,2055,0,20,0.0,20.55,0.9281927710843374,0.9281927710843374,0.9903614457831326,16.44,0.8000000000000003,0.0,915.629344341578,1915.551639868741,2377.5238496467036,"{0: 0.9276511397423192, 1: 0.9287054409005628}",0.999946131547151,0.9276511397423192,0.9287054409005628,20,44,Poisson | EDF + Fixed,burstiness,Poisson,EDF + Fixed
1954,1954,1950,0,4,0.0,19.5,0.10184237461617196,0.10184237461617196,0.9979529170931423,14.904000000000002,0.7643076923076924,0.17860798362333674,85.0346089350096,244.11307353754273,303.2258244905289,"{0: 0.18526315789473685, 1: 0.022908366533864542}",0.991856963185579,0.18526315789473685,0.022908366533864542,20,42,Poisson | EDF + Threshold Downgrade,burstiness,Poisson,EDF + Threshold Downgrade
2084,2084,2077,0,7,0.0,20.77,0.11948176583493282,0.11948176583493282,0.996641074856046,15.852,0.7632161771786231,0.1847408829174664,92.46678294656158,254.69107391830752,321.38838345582303,"{0: 0.20686175580222, 1: 0.04025617566331199}",0.9910470131491176,0.20686175580222,0.04025617566331199,20,43,Poisson | EDF + Threshold Downgrade,burstiness,Poisson,EDF + Threshold Downgrade
2075,2075,2075,0,0,0.0,20.75,0.12385542168674699,0.12385542168674699,1.0,15.772,0.7600963855421689,0.19951807228915663,92.40083050089015,249.43075499624828,312.77408918373146,"{0: 0.22695738354806738, 1: 0.02626641651031895}",0.9869717571733257,0.22695738354806738,0.02626641651031895,20,44,Poisson | EDF + Threshold Downgrade,burstiness,Poisson,EDF + Threshold Downgrade
1954,1954,1950,0,4,0.0,19.5,0.13817809621289662,0.13817809621289662,0.9979529170931423,15.207,0.779846153846154,0.14687819856704196,89.29567089119155,322.0962636681563,361.9610137309969,"{0: 0.12526315789473685, 1: 0.150398406374502}",0.9997875635289379,0.12526315789473685,0.150398406374502,20,42,Poisson | Proposed,burstiness,Poisson,Proposed
2084,2084,2076,0,8,0.0,20.76,0.17226487523992323,0.17226487523992323,0.9961612284069098,16.113,0.7761560693641619,0.16698656429942418,94.44970788494902,324.87699568746575,372.968687526512,"{0: 0.1503531786074672, 1: 0.19213174748398903}",0.9993650839337738,0.1503531786074672,0.19213174748398903,20,43,Poisson | Proposed,burstiness,Poisson,Proposed
2075,2075,2075,0,0,0.0,20.75,0.16240963855421686,0.16240963855421686,1.0,16.04,0.7730120481927711,0.19614457831325302,91.6845282168506,328.7372371463396,370.76675256361574,"{0: 0.13082259663032705, 1: 0.19230769230769232}",0.998657366201333,0.13082259663032705,0.19230769230769232,20,44,Poisson | Proposed,burstiness,Poisson,Proposed
2144,2144,2068,0,76,0.0,20.68,0.9939365671641791,0.9939365671641791,0.9645522388059702,16.544,0.8000000000000002,0.0,2128.925855946487,3567.0804790018174,4039.104070077303,"{0: 0.9914772727272727, 1: 0.9963235294117647}",0.8636952998379239,0.9914772727272727,0.9963235294117647,20,42,ON-OFF | EDF + Fixed,burstiness,ON-OFF,EDF + Fixed
