total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,policy_name
1954,1954,1950,0,4,0.0,19.5,0.10184237461617196,0.10184237461617196,0.9979529170931423,14.904000000000002,0.7643076923076924,0.17860798362333674,85.0346089350096,244.11307353754273,303.2258244905289,"{0: 0.18526315789473685, 1: 0.022908366533864542}",0.991856963185579,0.18526315789473685,0.022908366533864542,20,42,Threshold Downgrade,ablation,Threshold Downgrade
2084,2084,2077,0,7,0.0,20.77,0.11948176583493282,0.11948176583493282,0.996641074856046,15.852,0.7632161771786231,0.1847408829174664,92.46678294656158,254.69107391830752,321.38838345582303,"{0: 0.20686175580222, 1: 0.04025617566331199}",0.9910470131491176,0.20686175580222,0.04025617566331199,20,43,Threshold Downgrade,ablation,Threshold Downgrade
2075,2075,2075,0,0,0.0,20.75,0.12385542168674699,0.12385542168674699,1.0,15.772,0.7600963855421689,0.19951807228915663,92.40083050089015,249.43075499624828,312.77408918373146,"{0: 0.22695738354806738, 1: 0.02626641651031895}",0.9869717571733257,0.22695738354806738,0.02626641651031895,20,44,Threshold Downgrade,ablation,Threshold Downgrade
1954,1954,1953,0,1,0.0,19.53,0.0005117707267144319,0.0005117707267144319,0.9994882292732856,11.718,0.5999999999999999,1.0,11.276971279228746,23.12352830347517,32.09586487930824,"{0: 0.0010526315789473684, 1: 0.0}",0.9999997226999485,0.0010526315789473684,0.0,20,42,Ablation: Fastest Feasible,ablation,Fastest Feasible
2084,2084,2084,0,0,0.0,20.84,0.0,0.0,1.0,12.503999999999998,0.5999999999999999,1.0,11.343941390201621,23.814277033038156,33.48546057154902,"{0: 0.0, 1: 0.0}",1.0,0.0,0.0,20,43,Ablation: Fastest Feasible,ablation,Fastest Feasible
2075,2075,2075,0,0,0.0,20.75,0.0,0.0,1.0,12.45,0.5999999999999999,1.0,11.681767621572362,24.081330376131156,35.227558347241356,"{0: 0.0, 1: 0.0}",1.0,0.0,0.0,20,44,Ablation: Fastest Feasible,ablation,Fastest Feasible
1954,1954,1950,0,4,0.0,19.5,0.13817809621289662,0.13817809621289662,0.9979529170931423,15.207,0.779846153846154,0.14687819856704196,89.29567089119155,322.0962636681563,361.9610137309969,"{0: 0.12526315789473685, 1: 0.150398406374502}",0.9997875635289379,0.12526315789473685,0.150398406374502,20,42,Proposed: Feasible Utility,ablation,Proposed
2084,2084,2076,0,8,0.0,20.76,0.17226487523992323,0.17226487523992323,0.9961612284069098,16.113,0.7761560693641619,0.16698656429942418,94.44970788494902,324.87699568746575,372.968687526512,"{0: 0.1503531786074672, 1: 0.19213174748398903}",0.9993650839337738,0.1503531786074672,0.19213174748398903,20,43,Proposed: Feasible Utility,ablation,Proposed
2075,2075,2075,0,0,0.0,20.75,0.16240963855421686,0.16240963855421686,1.0,16.04,0.7730120481927711,0.19614457831325302,91.6845282168506,328.7372371463396,370.76675256361574,"{0: 0.13082259663032705, 1: 0.19230769230769232}",0.998657366201333,0.13082259663032705,0.19230769230769232,20,44,Proposed: Feasible Utility,ablation,Proposed
1954,1897,1893,57,4,0.02917093142272262,18.93,0.1299897645854657,0.10384818133895625,0.9978914074855034,14.892999999999999,0.7867406233491813,0.1191354770690564,86.18302497183322,312.54641380527454,348.0167743061401,"{0: 0.12105263157894737, 1: 0.13844621513944222}",0.9999001412478367,0.12105263157894737,0.13844621513944222,20,42,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
2084,2015,2008,69,7,0.033109404990403074,20.08,0.14587332053742802,0.11662531017369727,0.9965260545905708,15.747,0.7842131474103587,0.13647642679900746,90.77603507178719,318.68463402746545,353.8205167037025,"{0: 0.12714429868819374, 1: 0.16285452881976212}",0.9995640836843404,0.12714429868819374,0.16285452881976212,20,43,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
2075,2008,2008,67,0,0.03228915662650603,20.08,0.1566265060240964,0.12848605577689243,1.0,15.689,0.7813247011952191,0.16085657370517928,90.29543789000672,325.3143850142773,368.42448271052143,"{0: 0.13280475718533202, 1: 0.17917448405253283}",0.9992459747024398,0.13280475718533202,0.17917448405253283,20,44,Proposed: Feasible Utility + Admission,ablation,Proposed + Admission
2501,1948,1946,553,2,0.22111155537784885,19.46,0.3442622950819672,0.15811088295687886,0.9989733059548255,15.568000000000001,0.8,0.0,112.6122673878308,329.2930527669557,363.7963910305996,"{0: 0.4139344262295082, 1: 0.2779078844652615}",0.9893031352946883,0.4139344262295082,0.2779078844652615,25,42,Admission Only + Fixed Model,ablation,Admission Only + Fixed
2574,1988,1982,586,6,0.22766122766122765,19.82,0.3593628593628594,0.170523138832998,0.9969818913480886,15.856000000000002,0.8000000000000002,0.0,132.03080332477475,329.14344797041736,360.1513646605623,"{0: 0.45425361155698235, 1: 0.2703313253012048}",0.9796283146744537,0.45425361155698235,0.2703313253012048,25,43,Admission Only + Fixed Model,ablation,Admission Only + Fixed
2581,1978,1974,603,4,0.2336303758233243,19.74,0.38783417280123983,0.2012133468149646,0.9979777553083923,15.792,0.8000000000000002,0.0,130.326438201153,340.2375033358324,377.42417420505114,"{0: 0.43471208434712083, 1: 0.3449554896142433}",0.9946193673305865,0.43471208434712083,0.3449554896142433,25,44,Admission Only + Fixed Model,ablation,Admission Only + Fixed
2501,2501,2499,0,2,0.0,24.99,0.13714514194322272,0.13714514194322272,0.9992003198720512,18.366,0.7349339735894357,0.32506997201119553,99.1552378995475,269.4683015812772,324.79161282472046,"{0: 0.22950819672131148, 1: 0.04918032786885246}",0.9891440875650458,0.22950819672131148,0.04918032786885246,25,42,Threshold Downgrade,ablation,Threshold Downgrade
2574,2574,2569,0,5,0.0,25.69,0.1351981351981352,0.1351981351981352,0.9980574980574981,18.89,0.7353055663682366,0.3243978243978244,101.82327134477964,271.2518388251599,322.79041513588356,"{0: 0.23434991974317818, 1: 0.04216867469879518}",0.9877187632146108,0.23434991974317818,0.04216867469879518,25,43,Threshold Downgrade,ablation,Threshold Downgrade
2581,2581,2576,0,5,0.0,25.76,0.1557535838822162,0.1557535838822162,0.9980627663696242,18.918,0.7343944099378881,0.3277799302595893,105.75200513167329,272.23349965680245,330.9588451963118,"{0: 0.27169505271695055, 1: 0.04970326409495549}",0.9828110813255657,0.27169505271695055,0.04970326409495549,25,44,Threshold Downgrade,ablation,Threshold Downgrade
2501,2501,2500,0,1,0.0,25.0,0.00039984006397441024,0.00039984006397441024,0.9996001599360256,15.0,0.6,1.0,11.630917831969782,25.323931528184765,36.39270908639732,"{0: 0.0, 1: 0.00078064012490242}",0.9999998475312721,0.0,0.00078064012490242,25,42,Ablation: Fastest Feasible,ablation,Fastest Feasible
2574,2574,2573,0,1,0.0,25.73,0.0003885003885003885,0.0003885003885003885,0.9996114996114996,15.437999999999999,0.5999999999999999,1.0,11.671457861921226,25.884269929588484,37.091080958144374,"{0: 0.0008025682182985554, 1: 0.0}",0.9999998388417751,0.0008025682182985554,0.0,25,43,Ablation: Fastest Feasible,ablation,Fastest Feasible
2581,2581,2579,0,2,0.0,25.79,0.0007748934521503294,0.0007748934521503294,0.9992251065478497,15.473999999999998,0.6,1.0,11.98146761534008,25.987902713867506,37.74298811088568,"{0: 0.0, 1: 0.001483679525222552}",0.9999994488566529,0.0,0.001483679525222552,25,44,Ablation: Fastest Feasible,ablation,Fastest Feasible
