total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,seed,case,family,param_value
2501,2501,2499,0,2,0.0,24.99,0.18512594962015194,0.18512594962015194,0.9992003198720512,18.47,0.739095638255302,0.30427828868452617,108.36061863579744,297.55278449022984,346.7186826973283,"{0: 0.2786885245901639, 1: 0.09601873536299765}",0.9875256294595259,25,42,threshold_wait_ms=200.0,threshold_wait_ms,200.0
2574,2574,2566,0,8,0.0,25.66,0.1728826728826729,0.1728826728826729,0.9968919968919969,18.984,0.7398285268901011,0.3026418026418026,108.35081849305425,293.65178821142763,344.9613238289147,"{0: 0.2696629213483146, 1: 0.08207831325301204}",0.9872134123595193,25,43,threshold_wait_ms=200.0,threshold_wait_ms,200.0
2581,2581,2576,0,5,0.0,25.76,0.17783804726850058,0.17783804726850058,0.9980627663696242,19.022000000000002,0.7384316770186334,0.3072452537776056,112.8671593982981,296.71929007012216,339.8650963372969,"{0: 0.2773722627737226, 1: 0.08679525222551929}",0.9866091391294811,25,44,threshold_wait_ms=200.0,threshold_wait_ms,200.0
2988,2988,2983,0,5,0.0,29.83,0.09136546184738956,0.09136546184738956,0.9983266398929049,21.164,0.7094870935300034,0.45314591700133866,94.78665623170673,245.09877051439764,294.78074625704886,"{0: 0.17006802721088435, 1: 0.015151515151515152}",0.9927657416402427,30,42,threshold_wait_ms=80.0,threshold_wait_ms,80.0
3049,3049,3045,0,4,0.0,30.45,0.10265660872417186,0.10265660872417186,0.9986880944571991,21.584,0.7088341543513956,0.4565431288947196,96.32193701072538,243.19698356701917,293.5831523865244,"{0: 0.19150370869858396, 1: 0.018518518518518517}",0.9907469414383087,30,43,threshold_wait_ms=80.0,threshold_wait_ms,80.0
3102,3102,3097,0,5,0.0,30.97,0.11927788523533205,0.11927788523533205,0.998388136686009,21.824,0.704681950274459,0.4771115409413282,98.71628563154081,243.9200727316753,295.9183733236021,"{0: 0.22905405405405405, 1: 0.01911220715166461}",0.9858414323264655,30,44,threshold_wait_ms=80.0,threshold_wait_ms,80.0
2988,2988,2983,0,5,0.0,29.83,0.13788487282463185,0.13788487282463185,0.9983266398929049,21.274,0.7131746563861883,0.4347389558232932,105.62970000818314,269.8150115722321,317.72619906976905,"{0: 0.23877551020408164, 1: 0.04018445322793149}",0.9868600713993371,30,42,threshold_wait_ms=120.0,threshold_wait_ms,120.0
3049,3049,3041,0,8,0.0,30.41,0.13611020006559527,0.13611020006559527,0.9973761889143982,21.638,0.7115422558368957,0.4434240734667104,107.39509386462305,268.6948189705654,318.84018359828616,"{0: 0.23128792987188132, 1: 0.04597701149425287}",0.9885615091393729,30,43,threshold_wait_ms=120.0,threshold_wait_ms,120.0
3102,3102,3098,0,4,0.0,30.98,0.15635074145712444,0.15635074145712444,0.9987105093488072,21.912,0.7072950290510006,0.46421663442940037,110.47871837906132,270.48049820824764,319.6228679816454,"{0: 0.2777027027027027, 1: 0.04562268803945746}",0.9812009513494999,30,44,threshold_wait_ms=120.0,threshold_wait_ms,120.0
2988,2988,2983,0,5,0.0,29.83,0.15327978580990628,0.15327978580990628,0.9983266398929049,21.258000000000003,0.7126382836071067,0.43741633199464525,107.86839295064419,282.51569194596016,337.9097762729137,"{0: 0.24081632653061225, 1: 0.06851119894598155}",0.9897200779870744,30,42,threshold_wait_ms=160.0,threshold_wait_ms,160.0
3049,3049,3040,0,9,0.0,30.4,0.16792390947851754,0.16792390947851754,0.9970482125286979,21.666,0.7126973684210526,0.4378484749098065,113.01679887168211,285.2811355446021,333.56917563555817,"{0: 0.2683749157113958, 1: 0.07279693486590039}",0.9862898661680879,30,43,threshold_wait_ms=160.0,threshold_wait_ms,160.0
