total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,tenant0_slo_miss_rate,tenant1_slo_miss_rate,arrival_rate,seed,case,experiment,scenario,policy_name
1569,1569,1569,0,0,0.0,15.69,0.09878903760356915,0.09878903760356915,1.0,12.296000000000001,0.7836838750796685,0.0815806246016571,76.74411190090905,231.81363294738298,298.4782302501509,"{0: 0.17639593908629442, 1: 0.020486555697823303}",0.9925790152722457,0.17639593908629442,0.020486555697823303,15,44,Balanced | Threshold,heterogeneity,Balanced,Threshold Downgrade
1468,1468,1467,0,1,0.0,14.67,0.030653950953678476,0.030653950953678476,0.9993188010899182,11.633,0.7929788684389911,0.06198910081743869,70.37967891674634,216.3554781304425,299.534807960692,"{0: 0.04073033707865169, 1: 0.021164021164021163}",0.9998980894912554,0.04073033707865169,0.021164021164021163,15,42,Balanced | Proposed,heterogeneity,Balanced,Proposed
1576,1576,1576,0,0,0.0,15.76,0.061548223350253804,0.061548223350253804,1.0,12.458,0.7904822335025382,0.07614213197969544,75.22532152953227,263.17332311352493,340.0920838384418,"{0: 0.07294429708222812, 1: 0.051094890510948905}",0.9998643646606163,0.07294429708222812,0.051094890510948905,15,43,Balanced | Proposed,heterogeneity,Balanced,Proposed
1569,1569,1569,0,0,0.0,15.69,0.06054811982154239,0.06054811982154239,1.0,12.371000000000002,0.7884639898024218,0.09623964308476737,76.00823843532999,267.42775881790146,338.57467093877676,"{0: 0.06725888324873096, 1: 0.05377720870678617}",0.9999485211965524,0.06725888324873096,0.05377720870678617,15,44,Balanced | Proposed,heterogeneity,Balanced,Proposed
1468,1468,1467,0,1,0.0,14.67,0.30381471389645776,0.30381471389645776,0.9993188010899182,11.578,0.7892297205180638,0.05381471389645776,73.9371224407223,187.8394616547776,328.7604707676357,"{0: 0.4186046511627907, 1: 0.03211009174311927}",0.9414126286047337,0.4186046511627907,0.03211009174311927,15,42,Strict-Heavy | Threshold,heterogeneity,Strict-Heavy,Threshold Downgrade
1576,1576,1576,0,0,0.0,15.76,0.3096446700507614,0.3096446700507614,1.0,12.396,0.7865482233502538,0.06725888324873096,76.738978013409,208.98571111502974,338.89370198243796,"{0: 0.4318181818181818, 1: 0.0273109243697479}",0.9355271972620064,0.4318181818181818,0.0273109243697479,15,43,Strict-Heavy | Threshold,heterogeneity,Strict-Heavy,Threshold Downgrade
1569,1569,1569,0,0,0.0,15.69,0.33205863607393243,0.33205863607393243,1.0,12.294,0.7835564053537285,0.08221797323135756,78.9156575131201,222.04808680286627,354.92962654999076,"{0: 0.45094509450945097, 1: 0.043668122270742356}",0.9317968034598548,0.45094509450945097,0.043668122270742356,15,44,Strict-Heavy | Threshold,heterogeneity,Strict-Heavy,Threshold Downgrade
1468,1468,1467,0,1,0.0,14.67,0.05108991825613079,0.05108991825613079,0.9993188010899182,11.36,0.7743694614860259,0.2125340599455041,58.580939447987475,136.93332303062056,212.68454301341296,"{0: 0.07170542635658915, 1: 0.0022935779816513763}",0.9987028491245482,0.07170542635658915,0.0022935779816513763,15,42,Strict-Heavy | Proposed,heterogeneity,Strict-Heavy,Proposed
1576,1576,1576,0,0,0.0,15.76,0.07043147208121828,0.07043147208121828,1.0,12.194,0.7737309644670052,0.22588832487309646,61.101093906388996,147.75600639696495,256.80545500362314,"{0: 0.09636363636363636, 1: 0.01050420168067227}",0.9979473174183244,0.09636363636363636,0.01050420168067227,15,43,Strict-Heavy | Proposed,heterogeneity,Strict-Heavy,Proposed
1569,1569,1569,0,0,0.0,15.69,0.05481198215423837,0.05481198215423837,1.0,12.099,0.7711281070745698,0.25239005736137665,59.93566077199648,169.3874826252571,302.9930303367489,"{0: 0.0747074707470747, 1: 0.006550218340611353}",0.9987397892019362,0.0747074707470747,0.006550218340611353,15,44,Strict-Heavy | Proposed,heterogeneity,Strict-Heavy,Proposed
