total_requests,accepted_requests,completed_requests,dropped_requests,unfinished_requests,drop_rate,throughput,overall_slo_miss_rate,accepted_slo_miss_rate,completion_rate,accuracy_weighted_throughput,mean_accuracy_completed,downgrade_rate,p50_latency_ms,p95_latency_ms,p99_latency_ms,per_tenant_slo_miss_rate,fairness_jain_index,arrival_rate,policy,seed
2075,2075,2055,0,20,0.0,20.55,0.9281927710843374,0.9281927710843374,0.9903614457831326,16.44,0.8000000000000003,0.0,915.629344341578,1915.551639868741,2377.5238496467036,"{0: 0.9276511397423192, 1: 0.9287054409005628}",0.999946131547151,20,EDF + Fixed,44
1954,1727,1725,227,2,0.11617195496417605,17.25,0.1811668372569089,0.07353792704111176,0.9988419224088014,13.8,0.8,0.0,84.41229361415753,299.4555001068278,335.8349158302811,"{0: 0.2631578947368421, 1: 0.10358565737051793}",0.990544599251674,20,EDF + Admission Only + Fixed Model,42
2084,1816,1811,268,5,0.12859884836852206,18.11,0.20489443378119002,0.08755506607929515,0.9972466960352423,14.488000000000001,0.8000000000000002,0.0,88.27241701452294,305.8926535705832,352.019836853286,"{0: 0.29364278506559033, 1: 0.12442817932296432}",0.988687444651312,20,EDF + Admission Only + Fixed Model,43
2075,1769,1769,306,0,0.14746987951807228,17.69,0.22554216867469878,0.09157716223855286,1.0,14.152000000000001,0.8,0.0,87.75641875331348,311.9117082985918,349.3377798254845,"{0: 0.31714568880079286, 1: 0.13883677298311445}",0.9868390276356319,20,EDF + Admission Only + Fixed Model,44
1954,1954,1950,0,4,0.0,19.5,0.10184237461617196,0.10184237461617196,0.9979529170931423,14.904000000000002,0.7643076923076924,0.17860798362333674,85.0346089350096,244.11307353754273,303.2258244905289,"{0: 0.18526315789473685, 1: 0.022908366533864542}",0.991856963185579,20,EDF + Threshold Downgrade,42
2084,2084,2077,0,7,0.0,20.77,0.11948176583493282,0.11948176583493282,0.996641074856046,15.852,0.7632161771786231,0.1847408829174664,92.46678294656158,254.69107391830752,321.38838345582303,"{0: 0.20686175580222, 1: 0.04025617566331199}",0.9910470131491176,20,EDF + Threshold Downgrade,43
2075,2075,2075,0,0,0.0,20.75,0.12385542168674699,0.12385542168674699,1.0,15.772,0.7600963855421689,0.19951807228915663,92.40083050089015,249.43075499624828,312.77408918373146,"{0: 0.22695738354806738, 1: 0.02626641651031895}",0.9869717571733257,20,EDF + Threshold Downgrade,44
1954,1828,1826,126,2,0.06448311156601842,18.26,0.08802456499488229,0.02516411378555799,0.9989059080962801,14.172,0.7761226725082149,0.11925601750547046,78.42313889445722,239.0804564816899,289.28805751165146,"{0: 0.16842105263157894, 1: 0.01195219123505976}",0.9926600725040958,20,EDF + Threshold Downgrade + Admission,42
2084,1930,1926,154,4,0.07389635316698656,19.26,0.09404990403071017,0.021761658031088083,0.9979274611398964,14.936000000000002,0.7754932502596055,0.12279792746113989,81.9409551979752,230.860902365519,286.80160832729416,"{0: 0.18970736629667004, 1: 0.007319304666056725}",0.9898703941703992,20,EDF + Threshold Downgrade + Admission,43
2075,1902,1902,173,0,0.08337349397590361,19.02,0.10024096385542168,0.01840168243953733,1.0,14.714,0.7736067297581494,0.13196635120925343,83.7108793488261,236.68403178184715,286.3971891140361,"{0: 0.20317145688800792, 1: 0.0028142589118198874}",0.9876810182211516,20,EDF + Threshold Downgrade + Admission,44
1954,1954,1950,0,4,0.0,19.5,0.13817809621289662,0.13817809621289662,0.9979529170931423,15.207,0.779846153846154,0.14687819856704196,89.29567089119155,322.0962636681563,361.9610137309969,"{0: 0.12526315789473685, 1: 0.150398406374502}",0.9997875635289379,20,Proposed: EDF + Feasible Utility,42
2084,2084,2076,0,8,0.0,20.76,0.17226487523992323,0.17226487523992323,0.9961612284069098,16.113,0.7761560693641619,0.16698656429942418,94.44970788494902,324.87699568746575,372.968687526512,"{0: 0.1503531786074672, 1: 0.19213174748398903}",0.9993650839337738,20,Proposed: EDF + Feasible Utility,43
2075,2075,2075,0,0,0.0,20.75,0.16240963855421686,0.16240963855421686,1.0,16.04,0.7730120481927711,0.19614457831325302,91.6845282168506,328.7372371463396,370.76675256361574,"{0: 0.13082259663032705, 1: 0.19230769230769232}",0.998657366201333,20,Proposed: EDF + Feasible Utility,44
1954,1897,1893,57,4,0.02917093142272262,18.93,0.1299897645854657,0.10384818133895625,0.9978914074855034,14.892999999999999,0.7867406233491813,0.1191354770690564,86.18302497183322,312.54641380527454,348.0167743061401,"{0: 0.12105263157894737, 1: 0.13844621513944222}",0.9999001412478367,20,Proposed: EDF + Feasible Utility + Admission,42
2084,2015,2008,69,7,0.033109404990403074,20.08,0.14587332053742802,0.11662531017369727,0.9965260545905708,15.747,0.7842131474103587,0.13647642679900746,90.77603507178719,318.68463402746545,353.8205167037025,"{0: 0.12714429868819374, 1: 0.16285452881976212}",0.9995640836843404,20,Proposed: EDF + Feasible Utility + Admission,43
